date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:58	7742/7742	---MCZ	200	added ('OK')	text/html	etag:W/%2216f401001ef0f0e39d057148b1a63cc1%22	https://support.ookla.com/hc/en-us	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/support.ookla.com/hc/en-us.html	(from )
23:31:00	428/428	---MCZ	200	added ('OK')	text/plain	etag:W/%2283f4aaae06ccf01c8899d1760c690442%22	https://support.ookla.com/robots.txt		(from )
23:31:00	91910/91910	---M-Z	200	added ('OK')	text/css	etag:%225a33c6ac-16706+gzip%22	http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css	(from https://support.ookla.com/hc/en-us)
23:31:01	43924/43924	---M-Z	200	added ('OK')	text/css	etag:W/%221ec54605853592490fc6eb8c2342fadb%22	http://p13.zdassets.com/hc/themes/129506/213867488/style-7e0d52207fcad1926c0e889e5c777db4.css?brand_id=3273006&locale=en-us	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/p13.zdassets.com/hc/themes/129506/213867488/style-7e0d52207fcad1926c0e889e5c777db42e21.css	(from https://support.ookla.com/hc/en-us)
23:31:01	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%2237cdd07b0058683bee4ed02341fccc73:1479341857%22	https://cloud.typography.com/7800252/7908972/css/fonts.css	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/cloud.typography.com/7800252/7908972/css/fonts.4.delayed	(from https://support.ookla.com/hc/en-us)
23:31:03	3110/3110	---M-Z	200	added ('OK')	text/javascript	etag:W/%226850ee7a3bd5e25e6bcef6d5739c582e%22	http://p13.zdassets.com/hc/themes/129506/213867488/script-7e0d52207fcad1926c0e889e5c777db4.js?brand_id=3273006&locale=en-us	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/p13.zdassets.com/hc/themes/129506/213867488/script-7e0d52207fcad1926c0e889e5c777db42e21.js	(from https://support.ookla.com/hc/en-us)
23:31:04	93079/93079	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a1ec1f1-16b97%22	http://p13.zdassets.com/hc/assets/jquery-b60ddb79ff2563b75442a6bac88b00b5.js	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/p13.zdassets.com/hc/assets/jquery-b60ddb79ff2563b75442a6bac88b00b5.js	(from https://support.ookla.com/hc/en-us)
23:31:04	183140/183140	---MCZ	200	added ('OK')	text/css	etag:%222cb64-563f738b2bd98-gzip%22	https://www.ookla.com/fonts/519942/937932A6FB329E5FC.css	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/www.ookla.com/fonts/519942/937932A6FB329E5FC.css	(from https://support.ookla.com/hc/en-us)
23:31:04	7854/7854	---MCZ	200	added ('OK')	text/html	etag:W/%2248a0c2a434dc428ef40777f70c02db9e%22	https://support.ookla.com/hc/en-us/signin?return_to=https%3A%2F%2Fsupport.ookla.com%2Fhc%2Fen-us&locale=1	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/support.ookla.com/hc/en-us/signin5153.html	(from https://support.ookla.com/hc/en-us)
23:31:05	10932/10932	---MCZ	200	added ('OK')	text/html	etag:W/%22055343bb2d24055a190871fc2c1ebab2%22	https://support.ookla.com/hc/en-us/categories/204419788-General	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/support.ookla.com/hc/en-us/categories/204419788-General.html	(from https://support.ookla.com/hc/en-us)
23:31:06	16416/16416	---MCZ	200	added ('OK')	text/html	etag:W/%22ced00a5c0b11c35350b0957b32067d26%22	https://support.ookla.com/hc/en-us/categories/204419828-NetGauge	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/support.ookla.com/hc/en-us/categories/204419828-NetGauge.html	(from https://support.ookla.com/hc/en-us)
23:31:07	9607/9607	---MCZ	200	added ('OK')	text/html	etag:W/%22dbcf176d2e87d01fa0a8a4fd7a1296d4%22	https://support.ookla.com/hc/en-us/categories/204419848-Speedtest-Intelligence	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/support.ookla.com/hc/en-us/categories/204419848-Speedtest-Intelligence.html	(from https://support.ookla.com/hc/en-us)
23:31:07	16064/16064	---MCZ	200	added ('OK')	text/html	etag:W/%22793e8890498fea5bf0a3a7541df6cb7e%22	https://support.ookla.com/hc/en-us/categories/115000673327-Speedtest-Custom	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/support.ookla.com/hc/en-us/categories/115000673327-Speedtest-Custom.html	(from https://support.ookla.com/hc/en-us)
23:31:09	13635/13635	---MCZ	200	added ('OK')	text/html	etag:W/%220b7851411fdecbaf25a95bc6c96c37a7%22	https://support.ookla.com/hc/en-us/categories/204419868-Speedtest-Servers	Z:/SPEEDTEST/Documentation/Ookla%20SpeedTest%20Documentation/support.ookla.com/hc/en-us/categories/204419868-Speedtest-Servers.html	(from https://support.ookla.com/hc/en-us)
